시상명,시상기준 및 선정방식,시상(참가)대상
개근상,"• 결과, 지각, 조퇴의 합이 1회도 없는 경우(1년, 3년)",각 학년별 전교생
느티나무상,학생들의 바람직한 생활자세와 올바른 가치관 확립 및 건전한 면학분위기 조성을 위해 학생관리프로그램에 누가 기록 후 상점이 많은 상위 4% 학생 수상,전교생
독도 퍼포먼스 대회,"•독도에 이해 및 창의성(40점)
•내용의 적합성(30점)
•표현의 체계성(30점)",1학년
모범상,"• 전 과목에 대하여 과목별 백분위에 단위수를 곱한 총점석차가 5% 이내인 학생
•  징계를 받은 사실이 없는 학생
• 무단결석이 없는 학생
들을 대상으로 학업성적 60%, 학급활동 10%, 학생회 활동 10%, 동아리 활동 5%, 봉사활동 10%, 교내수상실적 5%를 반영하여 선정",각 학년별 전교생
"사랑의 편지
쓰기 대회","•효의 이해(40점)
•내용의 적합성(30점)
• 표현의 체계성(30점)",각학년 별 전교생
